Location,ResourceGroup,VirtualNetwork,Address,Subnet,Network
SouthCentralUS,ttplab1-scu,ttplab1-scu-vnet-1,10.1.0.0/16,eucslan-scu-1,10.1.1.0/24
SouthCentralUS,ttplab1-scu,ttplab1-scu-vnet-1,10.1.0.0/16,userlan-scu-1,10.1.2.0/24
SouthCentralUS,ttplab1-scu,ttplab1-scu-vnet-1,10.1.0.0/16,userdmz-scu-1,10.1.3.0/24
SouthCentralUS,ttplab1-scu,ttplab1-scu-vnet-1,10.1.0.0/16,siamlan-scu-1,10.1.4.0/24
SouthCentralUS,ttplab1-scu,ttplab1-scu-vnet-1,10.1.0.0/16,siamdmz-scu-1,10.1.5.0/24
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
