Location,ResourceGroup,VMName,Type,DomainName,VMSize,VirtualNetwork,Subnet,IPAddress,ImageName,PublisherName,Offer,Skus,osDiskSAUri,DNSName,DC
SouthCentralUS,ttp1-scu,eucsadds01,Domain Controller,eucs.internal,Standard_B2s,ttp1-scu-vnet,ttp1-scu-vnet-eucslan,10.1.1.4,MicrosoftWindowsServer:WindowsServer:2012-R2-Datacenter,MicrosoftWindowsServer,WindowsServer,2012-R2-Datacenter,https://ttp1scuvmstore.blob.core.windows.net/osdisks/eucsadds01.vhd,eucsadds01-ttp1-scu.SouthCentralUS.cloudapp.azure.com,eucs
SouthCentralUS,ttp1-scu,eucsadcs01,Standalone,,Standard_B2s,ttp1-scu-vnet,ttp1-scu-vnet-eucslan,10.1.1.5,MicrosoftWindowsServer:WindowsServer:2012-R2-Datacenter,MicrosoftWindowsServer,WindowsServer,2012-R2-Datacenter,https://ttp1scuvmstore.blob.core.windows.net/osdisks/eucsadcs01.vhd,eucsadcs01-ttp1-scu.SouthCentralUS.cloudapp.azure.com,#VALUE!
SouthCentralUS,ttp1-scu,eucsadcs02,Member Server,eucs.internal,Standard_B2s,ttp1-scu-vnet,ttp1-scu-vnet-eucslan,10.1.1.6,MicrosoftWindowsServer:WindowsServer:2012-R2-Datacenter,MicrosoftWindowsServer,WindowsServer,2012-R2-Datacenter,https://ttp1scuvmstore.blob.core.windows.net/osdisks/eucsadcs02.vhd,eucsadcs02-ttp1-scu.SouthCentralUS.cloudapp.azure.com,eucs
SouthCentralUS,ttp1-scu,eucsrdsh01,Member Server,eucs.internal,Standard_B2s,ttp1-scu-vnet,ttp1-scu-vnet-eucslan,10.1.1.7,MicrosoftWindowsServer:WindowsServer:2012-R2-Datacenter,MicrosoftWindowsServer,WindowsServer,2012-R2-Datacenter,https://ttp1scuvmstore.blob.core.windows.net/osdisks/eucsrdsh01.vhd,eucsrdsh01-ttp1-scu.SouthCentralUS.cloudapp.azure.com,eucs
SouthCentralUS,ttp1-scu,eucssqls0101,Member Server,eucs.internal,Standard_B2ms,ttp1-scu-vnet,ttp1-scu-vnet-eucslan,10.1.1.9,MicrosoftSQLServer:SQL2012SP4-WS2012R2:Standard,MicrosoftSQLServer,SQL2012SP4-WS2012R2,Standard,https://ttp1scuvmstore.blob.core.windows.net/osdisks/eucssqls0101.vhd,eucssqls0101-ttp1-scu.SouthCentralUS.cloudapp.azure.com,eucs
SouthCentralUS,ttp1-scu,eucssccm01,Member Server,eucs.internal,Standard_B2ms,ttp1-scu-vnet,ttp1-scu-vnet-eucslan,10.1.1.10,MicrosoftWindowsServer:WindowsServer:2012-R2-Datacenter,MicrosoftWindowsServer,WindowsServer,2012-R2-Datacenter,https://ttp1scuvmstore.blob.core.windows.net/osdisks/eucssccm01.vhd,eucssccm01-ttp1-scu.SouthCentralUS.cloudapp.azure.com,eucs
SouthCentralUS,ttp1-scu,eucsscor01,Member Server,eucs.internal,Standard_B2ms,ttp1-scu-vnet,ttp1-scu-vnet-eucslan,10.1.1.11,MicrosoftWindowsServer:WindowsServer:2012-R2-Datacenter,MicrosoftWindowsServer,WindowsServer,2012-R2-Datacenter,https://ttp1scuvmstore.blob.core.windows.net/osdisks/eucsscor01.vhd,eucsscor01-ttp1-scu.SouthCentralUS.cloudapp.azure.com,eucs
SouthCentralUS,ttp1-scu,eucsscsm01,Member Server,eucs.internal,Standard_B2ms,ttp1-scu-vnet,ttp1-scu-vnet-eucslan,10.1.1.12,MicrosoftWindowsServer:WindowsServer:2012-R2-Datacenter,MicrosoftWindowsServer,WindowsServer,2012-R2-Datacenter,https://ttp1scuvmstore.blob.core.windows.net/osdisks/eucsscsm01.vhd,eucsscsm01-ttp1-scu.SouthCentralUS.cloudapp.azure.com,eucs
SouthCentralUS,ttp1-scu,useradds01,Domain Controller,user.internal,Standard_B2s,ttp1-scu-vnet,ttp1-scu-vnet-userlan,10.1.2.4,MicrosoftWindowsServer:WindowsServer:2012-R2-Datacenter,MicrosoftWindowsServer,WindowsServer,2012-R2-Datacenter,https://ttp1scuvmstore.blob.core.windows.net/osdisks/useradds01.vhd,useradds01-ttp1-scu.SouthCentralUS.cloudapp.azure.com,user
SouthCentralUS,ttp1-scu,usermail01,Member Server,user.internal,Standard_B2s,ttp1-scu-vnet,ttp1-scu-vnet-userlan,10.1.2.5,MicrosoftWindowsServer:WindowsServer:2012-R2-Datacenter,MicrosoftWindowsServer,WindowsServer,2012-R2-Datacenter,https://ttp1scuvmstore.blob.core.windows.net/osdisks/usermail01.vhd,usermail01-ttp1-scu.SouthCentralUS.cloudapp.azure.com,user
